name,glass-size (oz),category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz).1
tea saronno,12,cocktail classics,6 oz,hot tea,1 1/2 oz,amaretto di saronno,nan,nan,nan,nan,nan,nan,nan,nan,whipped cream,"pour hot tea into a stemmed glass, using a spoon in glass to prevent cracking. add amaretto di saronno but do not stir. top with chilled whipped cream.",red-wine glass,12
the summer of love,6,vodka,2 oz,orange-flavored vodka,2 oz,rose water,1 oz,lillet blanc,1/4 oz,black raspberry liqueur,nan,nan,nan,nan,lemon twist,shake with ice and strain into chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
devil's soul,6,whiskies,1 1/2 oz,straight rye whiskey,1/2 oz,mezcal,1/2 oz,amaro,1/4 oz,aperol,1/4 oz,elderflower liqueur,nan,nan,flamed orange twist,stir with ice and strain into cocktail glass. garnish with a flamed orange twist.,cocktail glass,6
deshler,6,whiskies,1 1/2 oz,straight rye whiskey,1/2 oz,dubonnet rouge,1/4 oz,triple sec,2 oz,angostura bitters,nan,nan,nan,nan,lemon twist,stir with ice and strain into chilled champagne flute. garnish with a lemon twist.,champagne flute,6
t.n.t. no. 1,6,cocktail classics,1 1/2 oz,old thompson blended whiskey,1 1/2 oz,absinthe substitute,nan,nan,nan,nan,nan,nan,nan,nan,nan,shake with ice and strain into cocktail glass.,cocktail glass,6
stupid cupid,6,vodka,2 oz,citrus-flavored vodka,1/2 oz,sloe gin,1 oz,simple syrup,1 oz,fresh lemon juice,nan,nan,nan,nan,cherry,shake with ice and strain into chilled cocktail glass. garnish with a cherry.,cocktail glass,6
derby,6,whiskies,2 oz,bourbon whiskey,1/4 oz,benedictine,1 oz,angostura bitters,nan,nan,nan,nan,nan,nan,lemon twist,stir with ice and strain into chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
stockholm 75,6,vodka,nan,nan,3/4 oz,citrus-flavored vodka,3/4 oz,simple syrup,3/4 oz,fresh lemon juice,3 oz,chilled champagne,nan,nan,nan,"rim chilled cocktail glass with lemon and sugar. shake vodka, syrup, and lemon juice with ice. strain into glass. fill with champagne",cocktail glass,6
the delmarva cocktail,6,whiskies,2 oz,straight rye whiskey,1/2 oz,dry vermouth,1/2 oz,white creme de menthe,1/2 oz,fresh lemon juice,nan,nan,nan,nan,mint,shake with ice and strain into chilled cocktail glass. garnish with mint.,cocktail glass,6
sputnik,12,vodka,1 1/4 oz,vodka,1 1/4 oz,peach schnapps,3 oz,fresh orange juice,3 oz,half-and-half,nan,nan,nan,nan,peach slice,shake with ice until frothy and pour into red-wine glass. garnish with a peach slice.,red-wine glass,12
gotham,6,brandy,1 oz,absinthe or pastis,3 oz,brandy,3 oz,peach bitters,nan,nan,nan,nan,nan,nan,lemon twist,pour absinthe into chilled old-fashioned glass and swirl to coat. shake brandy and bitters with ice and strain into glass. garnish with a lemon twist.,old-fashioned glass,6
de la louisiane,6,whiskies,3/4 oz,straight rye whiskey,3/4 oz,sweet vermouth,3/4 oz,benedictine,3 oz,absinthe or pastis,3 oz,peychaud's bitters,nan,nan,cherry,stir with ice and strain into chilled cocktail glass. garnish with a cherry.,cocktail glass,6
the debonair,6,whiskies,2 1/2 oz,single-malt scotch whisky,1 oz,ginger liqueur,nan,nan,nan,nan,nan,nan,nan,nan,lemon twist,stir and strain into chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
soviet,6,vodka,1 1/2 oz,vodka,1/2 oz,amontillado sherry,1/2 oz,dry vermouth,nan,nan,nan,nan,nan,nan,lemon twist,shake with ice and strain into ice-filled old-fashioned glass. garnish with a lemon twist.,old-fashioned glass,6
daisy dueller,7,whiskies,2 oz,tennessee whiskey,3/4 oz,fresh lemon juice,3/4 oz,simple syrup,1/2 oz,triple sec,soda water,nan,nan,nan,"orange slice, lemon slice",shake first four ingredients with ice. strain into chilled highball glass. add ice and fill with soda. garnish with an orange slice and a lemon slice.,highball glass,7
sonic blaster,14,vodka,1/2 oz,vodka,1/2 oz,light rum,1/2 oz,creme de banana,1 oz,pineapple juice,1 oz,orange juice,1 oz,cranberry juice,"orange slice, lime slice",shake and pour into ice-filled collins glass. garnish with an orange slice and a lime slice.,collins glass,14
creole lady,6,whiskies,1 1/2 oz,bourbon whiskey,1 1/2 oz,madeira,1 oz,grenadine,nan,nan,nan,nan,nan,nan,cherry,stir with ice and strain into chilled cocktail glass. garnish with a cherry.,cocktail glass,6
rum coooler,14,cocktail classics,1/2 tsp,powdered sugar,2 oz,carbonated water,1 oz,mr. boston rum,nan,ginger ale,nan,nan,nan,nan,"orange twist, lemon twist","in collins glass, dissolve powdered sugar in carbonated water. stir. fill glass with ice and add rum. fill with carbonated water or ginger ale and stir again. garnish with an orange twist or a lemon twist.",collins glass,14
siberian sleighride,8,vodka,1 1/4 oz,vodka,3/4 oz,white creme de cacao,1/2 oz,white creme de menthe,3 oz,half-and-half,nan,nan,nan,nan,chocolate shavings,shake with ice and strain into chilled snifter. sprinkle with chocolate shavings.,brandy snifter,8
cotton club flip,6,whiskies,2 oz,vanilla-infused bourbon,1/2 oz,honey-currant syrup,3/4 oz,fresh lime juice,1 oz,egg white,2 oz,rhubarb bitters,nan,nan,cotton candy,shake first four ingredients without ice. add ice and shake again. strain into ice-filled old-fashioned glass. top with bitters. garnish with cotton candy.,old-fashioned glass,6
golden dawn,6,brandy,1 oz,apple brandy,1/2 oz,apricot-flavored brandy,1/2 oz,gin,1 oz,fresh orange juice,1 oz,grenadine,nan,nan,nan,shake first four ingredients with ice and strain into ice-filled oldfashioned glass. add grenadine.,old-fashioned glass,6
sidecar,6,cocktail classics,1 oz,cognac,1 oz,triple sec,1/2 oz,fresh lemon juice,1 1/2 oz,vodka,1 oz,madeira,1/2 oz,fresh orange juice and orange wheel,nan,shake with ice and strain into a chilled cocktail glass.,cocktail glass,6
shalom,6,vodka,1 1/2 oz,vodka,1 oz,madeira,1/2 oz,fresh orange juice and orange wheel,2 oz,bourbon whiskey,3/4 oz,white creme de cacao,1/2 oz,fresh lemon juice,orange slice,shake with ice and strain into ice-filled old-fashioned glass. garnish with an orange slice.,old-fashioned glass,6
commodore cocktail,6,whiskies,2 oz,bourbon whiskey,3/4 oz,white creme de cacao,1/2 oz,fresh lemon juice,1 oz,grenadine,nan,nan,nan,nan,nan,shake with ice and strain into chilled champagne flute.,champagne flute,6
sea breeze,7,vodka,1 1/2 oz,vodka,4 oz,cranberry juice,1 oz,fresh grapefruit juice,nan,nan,nan,nan,nan,nan,lime slice,pour into ice-filled highball glass. garnish with a lime slice.,highball glass,7
screwdriver,7,vodka,1 1/2 oz,vodka,5 oz,orange juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,pour into ice-filled highball glass. stir well.,highball glass,7
coffee old-fashioned,6,whiskies,2 oz,bourbon whiskey,3/4 oz,simple syrup,2 oz,angostura bitters,1 oz,cold brewed coffee,2 oz,soda water,nan,nan,"orange slice, cherry","pour bourbon, syrup, bitters, and coffee into ice-filled old-fashioned glass and stir. add soda water and stir again. garnish with an orange slice and a cherry.",old-fashioned glass,6
dry martini,6,cocktail classics,1 2/3 oz,mr. boston gin,1/3 oz,dry vermouth,nan,nan,nan,nan,nan,nan,nan,nan,olive,stir or shake with ice and strain into cocktail glass.  garnish with an olive.,cocktail glass,6
salty dog,7,vodka,nan,nan,1 1/2 oz,vodka,5 oz,grapefruit juice,nan,nan,nan,nan,nan,nan,salt,rim highball glass with lemon and salt. fill with ice. add vodka and grapefruit juice and stir.,highball glass,7
dr. cook,12,cocktail classics,3/4 oz,mr. boston gin,1 oz,lemon juice,1 oz,maraschino,1 oz,egg white,nan,nan,nan,nan,nan,shake with ice and strain into wine glass.,red-wine glass,12
dillatini cocktail,6,cocktail classics,1 1/2 oz,mr. boston gin,3/4 oz,dry vermouth,nan,nan,nan,nan,nan,nan,nan,nan,dilly bean,serve with a dilly bean.,cocktail glass,6
chi-town flip,14,whiskies,2 oz,bourbon whiskey,3/4 oz,tawny port,3/4 oz,fresh lemon juice,3/4 oz,vanilla liqueur and 3 oz,1/4 oz,simple syrup,1 oz,whole egg and grated nutmet,nutmeg,shake first six ingredients without ice. add ice and shake again. strain into ice-filled collins glass. add bitters and top with nutmeg.,collins glass,14
chef's pain,6,vodka,2 oz,bourbon whiskey,3/4 oz,fresh lime juice,1/2 oz,blackberry liqueur,1/2 oz,b & b,nan,nan,nan,nan,nan,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
sampan shipwreck a,6,vodka,1 1/2 oz,vodka,1/2 oz,orange liqueur,1/2 oz,canned coconut milk,1/2 oz,cold brewed chai tea,1/2 oz,orgeat or almond syrup,nan,nan,pineapple slice,shake well with ice. double-strain into chilled cocktail glass. garnish with a pineapple slice.,cocktail glass,6
chas,6,whiskies,1 1/2 oz,bourbon whiskey,1/4 oz,amaretto,1/4 oz,benedictine,1/4 oz,triple sec,1/4 oz,orange curacao,nan,nan,orange twist,stir with ice and strain into chilled cocktail glass. garnish with an orange twist.,cocktail glass,6
goat's delight,6,brandy,1 oz,brandy,1 1/2 oz,kirschwasser,1/4 oz,half-and-half,1 oz,orgeat or almond syrup,1 oz,absinthe or pastis,nan,nan,nan,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
russian bear cocktail,6,vodka,1 oz,vodka,1/2 oz,white creme de cacao,1/2 oz,half-and-half,nan,nan,nan,nan,nan,nan,nan,stir with ice and strain into chilled cocktail glass.,cocktail glass,6
character development,6,whiskies,2 oz,scotch whiskey,1/2 oz,coconut liqueur,1/2 oz,dry sherry,2 oz,grapefruit bitters,grapefruit twist,nan,nan,nan,grapefruit twist,stir with ice and strain into chilled cocktail glass. garnish with a grapefruit twist.,cocktail glass,6
ruby red,6,vodka,2 oz,grapefruit-flavored vodka,1 1/2 oz,triple sec,1 1/2 oz,fresh ruby red grapefruit juice,1 oz,fresh orange juice,grapefruit twist,nan,nan,nan,grapefruit twist,shake with ice and strain into chilled cocktail glass. garnish with a grapefruit twist.,cocktail glass,6
chaplin,6,whiskies,3/4 oz,bourbon whiskey,3/4 oz,dry sherry,3/4 oz,ramazzotti amaro,1 oz,triple sec,2 oz,orange bitters,nan,nan,lemon twist,stir with ice and strain into chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
rouxby red,6,vodka,nan,nan,1 1/2 oz,grapefruit-flavored vodka,1/4 oz,fresh lemon juice,3/4 oz,grapefruit juice,1/2 oz,campari,1/2 oz,simple syrup,nan,rim chilled cocktail glass with lemon and salt. shake remaining ingredients with ice and strain into glass.,cocktail glass,6
rosemary clementine sparkle,6,vodka,1/4 oz,clementine or mandarin orange,1 1/2 oz,vodka,3/4 oz,fresh lemon juice,3/4 oz,honey syrup,1 oz,fresh rosemary sprig,1 oz,chilled sparkling wine or champagne,rosemary,"squeeze clementine into mixing glass. twist rind and add to glass. add vodka, lemon juice, syrup, and rosemary sprig. add ice and shake. strain into chilled cocktail glass. top with sparkling wine or champagne. garnish with rosemary sprig.",cocktail glass,6
chapel hill,6,whiskies,2 oz,bourbon whiskey,1/2 oz,triple sec,1/2 oz,fresh lemon juice,nan,nan,nan,nan,nan,nan,orange twist,shake with ice and strain into chilled cocktail glass. garnish with a orange twist.,cocktail glass,6
robin's nest,6,vodka,1 oz,vodka,1 oz,cranberry juice,1/2 oz,white creme de cacao,nan,nan,nan,nan,nan,nan,nan,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
chancellor cocktail,6,whiskies,1 1/2 oz,blended scotch whiskey,1/2 oz,dry vermouth,1/2 oz,tawny port,1 oz,peychaud's bitters,nan,nan,nan,nan,lemon twist,stir with ice and strain into chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
cafe di saronno,10,cocktail classics,1 oz,amaretto di saronno,nan,hot black coffee,nan,nan,nan,nan,nan,nan,nan,nan,whipped cream,add 1 oz. amaretto di saronno to a cup of black coffee. top with whipped cream.,beer mug,10
carre reprise,6,whiskies,1 oz,straight rye whiskey,1 oz,cognac,1 oz,sweet vermouth,1/2 oz,elderflower liqueur,1 oz,angostura bitters,1 oz,peychaud's bitters,lemon twist,stir with ice. strain into ice-filled old-fashioned glass. garnish with a lemon twist.,old-fashioned glass,6
gilroy cocktail,6,brandy,3/4 oz,cherry-flavored brandy,3/4 oz,gin,1/2 oz,dry vermouth,1/2 oz,fresh lemon juice,1 oz,orange bitters,nan,nan,nan,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
redhead martini,6,vodka,4 oz,"strawberries, cut into halves",3/4 oz,fresh lemon juice,3/4 oz,simple syrup,1 1/2 oz,citrus-flavored vodka,1 oz,chilled moscato d'asti or sweet sparkling wine,nan,nan,strawberry,muddle halved strawberries in mixing glass with lemon juice and syrup. add vodka and ice and shake well. strain into chilled cocktail glass. add sparkling wine. garnish with a strawberry.,cocktail glass,6
red apple,6,vodka,1 1/2 oz,vodka,1 oz,apple juice,1/2 oz,fresh lemon juice,1 oz,grenadine,nan,nan,nan,nan,nan,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
canal street daisy,14,whiskies,1 oz,blended scotch whiskey,1 oz,orange juice,3/4 oz,fresh lemon juice,1 oz,soda water,1 oz,nan,nan,nan,orange slice,add scotch and juices to ice-filled collins glass and stir. fill with soda water and stir again. garnish with an orange slice.,collins glass,14
canadian cocktail,6,whiskies,1 1/2 oz,canadian whisky,1/2 oz,triple sec,1/2 oz,simple syrup,1 oz,angostura bitters,nan,nan,nan,nan,nan,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
purple ruby,6,vodka,1 1/2 oz,vodka,1 1/2 oz,pomegranate juice,1/2 oz,grapefruit juice,1/4 oz,fresh lime juice,1/4 oz,honey syrup,nan,nan,grapefruit twist,shake with ice and strain into chilled cocktail glass. garnish with a grapefruit twist.,cocktail glass,6
canadian cherry,6,whiskies,1 oz,maraschino liqueur,1 1/2 oz,canadian whisky,1/2 oz,maraschino liqueur,1/2 oz,fresh lemon juice,1/2 oz,orange juice,nan,nan,nan,moisten rim of old-fashioned glass with maraschino liqueur. fill with ice. shake ingredients with ice and strain into glass.,old-fashioned glass,6
orange smile,12,cocktail classics,1 oz,egg,1 oz,juice of orange,1 oz,grenadine,nan,nan,nan,nan,nan,nan,nan,shake with ice and strain into stem goblet.,red-wine glass,12
purple passion iced tea,7,vodka,1/2 oz,vodka,1/2 oz,light rum,1/2 oz,gin,1/2 oz,black raspberry liqueur,1/2 oz,simple syrup,3/4 oz,fresh lemon juice and 3 oz,lemon twist,pour ingredients into ice-filled highball glass in order listed and stir. garnish with a lemon twist.,highball glass,7
canadian breeze,6,whiskies,1 1/2 oz,canadian whisky,3/4 oz,pineapple juice,1/2 oz,fresh lemon juice,1/4 oz,maraschino liqueur,1 oz,nan,nan,nan,"pineapple slice, cherry",shake with ice. strain into ice-filled old-fashioned glass. garnish with a pineapple slice and a cherry.,old-fashioned glass,6
purple passion,14,vodka,1 1/2 oz,vodka,2 oz,grapefruit juice,2 oz,concord grape juice,1/2 oz,simple syrup,nan,nan,nan,nan,nan,shake with ice. pour with ice into collins glass.,collins glass,14
cameron's kick cocktail,6,whiskies,3/4 oz,blended scotch whiskey,3/4 oz,irish whiskey,1/2 oz,fresh lemon juice,2 oz,orange bitters,nan,nan,nan,nan,nan,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
georgia mint julep,14,brandy,2 oz,mint sprigs,1/4 oz,simple syrup,1 1/2 oz,brandy,1 oz,peach-flavored brandy,nan,nan,nan,nan,mint,muddle mint and syrup in collins glass. fill with ice. add brandy and peach-flavored brandy. stir and garnish with mint.,collins glass,14
california lemonade,14,whiskies,2 oz,bourbon whiskey,1 oz,fresh lemon juice,1 oz,fresh lime juice,1 oz,simple syrup,1/4 oz,grenadine,1 oz,soda water,"orange slice, lemon slice, cherry","shake first five ingredients with ice. strain into shaved ice-filled collins glass. fill with soda water and garnish with an orange slice, a lemon slice, and a cherry. serve with straws.",collins glass,14
boston side car,6,cocktail classics,3/4 oz,mr. boston five star brandy,3/4 oz,mr. boston rum,3/4 oz,mr. boston triple sec,1/2 oz,juice of a lime,nan,nan,nan,nan,nan,shake with ice and strain into cocktail glass.,cocktail glass,6
cablegram,7,whiskies,2 oz,bourbon whiskey,1 oz,fresh lemon juice,1/2 oz,simple syrup,1 oz,ginger ale,nan,nan,nan,nan,nan,stir first three ingredients in ice-filled highball glass. fill with ginger ale.,highball glass,7
bull and bear,6,whiskies,1 1/2 oz,bourbon whiskey,3/4 oz,orange curacao,1 oz,fresh lemon juice,1/4 oz,grenadine,nan,nan,nan,nan,"cherry, orange slice",shake with ice and strain into chilled cocktail glass. garnish with a cherry and an orange slice.,cocktail glass,6
brooklyn,6,whiskies,1 1/2 oz,rye or bourbon whiskey,1/2 oz,sweet vermouth,1 oz,amer picon or torani amer,1 oz,maraschino liqueur,nan,nan,nan,nan,nan,stir with ice and strain into chilled cocktail glass.,cocktail glass,6
brighton punch,14,whiskies,3/4 oz,bourbon whiskey,3/4 oz,brandy,3/4 oz,benedictine,2 oz,orange juice,1 oz,fresh lemon juice,nan,soda water,"orange slice, lemon slice",shake first five ingredients with ice and pour with ice into collins glass. fill with soda water and stir gently. garnish with an orange slice and a lemon slice and serve with a straw.,collins glass,14
bourbon renewal,6,whiskies,2 oz,bourbon whiskey,1 oz,fresh lemon juice,1/2 oz,creme de cassis,1/2 oz,simple syrup,1 oz,angostura bitters,nan,nan,nan,shake with ice. strain into ice-filled old-fashioned glass.,old-fashioned glass,6
bourbon highball,7,whiskies,2 oz,bourbon whiskey,nan,ginger ale or soda water,nan,nan,nan,nan,nan,nan,nan,nan,lemon twist,pour whiskey into ice-filled highball glass. fill with ginger ale or soda water and stir. garnish with a lemon twist.,highball glass,7
bourbon and elder,6,whiskies,2 oz,bourbon whiskey,3/4 oz,elderflower liqueur,1 oz,angostura bitters,nan,,nan,nan,nan,nan,lemon twist,stir with ice and strain into chilled old-fashioned glass. garnish with a lemon twist.,old-fashioned glass,6
bourbon crusta,6,whiskies,nan,nan,2 oz,bourbon whiskey,1/2 oz,triple sec,1 oz,maraschino liqueur,1 oz,fresh lemon juice,2 oz,orange bitters,sugar,rim chilled cocktail glass with lemon and sugar. curl the zest spiral in glass. stir remaining ingredients with ice and strain into glass.,cocktail glass,6
bourbon cooler,6,whiskies,2 1/2 oz,bourbon whiskey,1/2 oz,fresh lemon juice,1/2 oz,grapefruit juice,1/2 oz,orgeat syrup,nan,nan,nan,nan,peach slice,shake with ice in mixing glass. pour with ice into old-fashioned glass. garnish with a peach slice.,old-fashioned glass,6
froupe cocktail,6,brandy,1 1/2 oz,brandy,1 1/2 oz,sweet vermouth,1 oz,benedictine,nan,nan,nan,nan,nan,nan,nan,stir with ice and strain into chilled cocktail glass.,cocktail glass,6
bourbon a la creme,6,whiskies,2 oz,bourbon whiskey,1 oz,dark creme de cacao,1/2 oz,vanilla liqueur,nan,nan,nan,nan,nan,nan,nan,stir ingredients with ice. strain into chilled old-fashioned glass.,old-fashioned glass,6
the bone,1,whiskies,2 oz,bourbon whiskey,1/2 oz,fresh lime juice,1/2 oz,simple syrup,3 oz,hot red pepper sauce,nan,nan,nan,nan,nan,shake with ice and strain into chilled shot glass.,shot glass,1
bobby burns cocktail,6,whiskies,1 1/2 oz,blended scotch whiskey,1 1/2 oz,sweet vermouth,1 oz,benedictine,nan,nan,nan,nan,nan,nan,lemon twist,stir with ice and strain into chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
bloody scotsman,6,whiskies,24 oz,"smoky scotch whisky, such as laphroaig",24 oz,tomato juice,24 oz,v8 cocktail juice,1c,ketchup,3 oz,fresh lime juice,3 oz,"simple syrup, 3/4 oz",nan,"mix ingredients together, stirring often, in a large container, adding salt to taste. chill for at least 24 hours before serving. serve in ice-filled old-fashioned glasses.",old-fashioned glass,6
white cargo cocktail,6,cocktail classics,1 oz,vanilla ice cream,1 oz,mr. boston gin,nan,nan,nan,nan,nan,nan,nan,nan,nan,shake until thoroughly mixed and add water or sauterne if the mixture if too thick. serve in an old-fashioned glass.,old-fashioned glass,6
blood and sand,6,whiskies,1/2 oz,blended scotch whiskey,1/2 oz,cherry-flavored brandy,1/2 oz,sweet vermouth,1/2 oz,orange juice,nan,nan,nan,nan,nan,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
the blinker,6,whiskies,2 oz,straight rye whisky,1 1/2 oz,grapefruit juice,1 oz,raspberry syrup,nan,nan,nan,nan,nan,nan,"grapefruit twist, raspberry",shake and strain into cocktail glass. garnish with a grapefruit twist or a raspberry.,cocktail glass,6
pike's peak cooler,14,cocktail classics,nan,cider,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 oz,whole egg,nan,nan,nan,nan,"orange twist, lemon twist",shake with ice and strain into collins glass with cracked ice. fill with cider and stir. garnish with an orange twist or lemon twist.,collins glass,14
blarney stone cocktail,6,whiskies,2 oz,irish whiskey,1/2 oz,anisette,1/2 oz,triple sec,1/2 oz,maraschino liqueur,1 oz,angostura bitters,nan,nan,"orange twist, olive",shake with ice and strain into chilled cocktail glass. garnish with an orange twist and olive.,cocktail glass,6
pacman,14,cocktail classics,2 oz,lemon juice,1 oz,grenadine,1 oz,bitters,nan,ginger ale,nan,nan,nan,nan,orange slice,"add grenadine, lemon juice, and bitters to collins filled with ice. top with ginger ale. garnish with an orange slice and slide down side of glass.",collins glass,14
lemonade (golden),14,cocktail classics,1 oz,juice of a lemon,2 oz,powdered sugar,1 oz,egg yolk,6 oz,water,nan,nan,nan,nan,"orange slice, lemon slice, cherry","shake with ice and strain into collins glass. garnish with an orange slice, a lemon slice, and a cherry.",collins glass,14
black hawk,6,whiskies,1 1/2 oz,bourbon whiskey,1 1/2 oz,sloe gin,1 oz,maraschino cherry,nan,nan,nan,nan,nan,nan,cherry,stir with ice and strain into chilled cocktail glass. garnish with a cherry.,cocktail glass,6
lemonade (egg),14,cocktail classics,1 oz,juice of a lemon,2 oz,powdered sugar,1 oz,whole egg,nan,nan,nan,nan,nan,nan,nan,shake and strain into collins glass over ice cubes. add enough water to fill glass. serve with straws.,collins glass,14
bensonhurst,6,whiskies,1 oz,cynar,2 oz,straight rye whiskey,1 oz,dry vermouth,1/4 oz,maraschino liqueur,nan,nan,nan,nan,nan,swirl cynar in chilled cocktail glass to coat inside; discard excess cynar. stir remaining ingredients with ice and strain into glass.,cocktail glass,6
chocolate daisy,10,cocktail classics,1/2 oz,juice of a lemon,1/2 oz,powdered sugar,1 oz,grenadine,1 1/2 oz,brandy,1 1/2 oz,port,nan,nan,seasonal fruit,shake with ice and strain into stein or metal cup. add ice cubes and decorate with seasonal fruit,beer mug,10
the beautiful day,6,whiskies,1 1/4 oz,irish whiskey,3/4 oz,rhubarb syrup,2 oz,cold brewed green tea,nan,edible flowers,nan,nan,nan,nan,edible flowers,shake with ice and strain into ice-filled old-fashioned glass. garnish with edible flowers.,old-fashioned glass,6
french quarter,6,brandy,2 oz,brandy,3/4 oz,lillet blanc,nan,nan,nan,nan,nan,nan,nan,nan,lemon slice,stir with ice and strain into chilled cocktail glass. garnish with a lemon slice.,cocktail glass,6
creme de gin cocktail,6,cocktail classics,1 1/2 oz,gin,1/2 oz,white creme de menthe,1 oz,egg white,2 oz,lemon juice,2 oz,orange juice,nan,nan,nan,shake with ice and strain into cocktail glass.,cocktail glass,6
creamy screwdriver,14,cocktail classics,2 oz,vodka,1 oz,egg yolk,6 oz,orange juice,1 oz,sugar,nan,nan,nan,nan,nan,combine all ingredients with a half-cup of crushed ice in an electric blender. blend at low speed and pour into collins glass.,collins glass,14
creamy orange,6,cocktail classics,1 oz,orange juice,1 oz,cream sherry,3/4 oz,brandy,1 oz,light cream,nan,nan,nan,nan,nan,shake with ice and strain into cocktail glass.,cocktail glass,6
creamsicle,14,cocktail classics,1 1/2 oz,vanilla liqueur,1 1/2 oz,milk,3 oz,orange juice,nan,nan,nan,nan,nan,nan,nan,"fill a tall glass with ice, add the above ingredients, and stir.",collins glass,14
cowboy cocktail,6,cocktail classics,1 1/2 oz,blended whiskey,1 oz,light cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,shake with ice and strain into cocktail glass.,cocktail glass,6
beals cocktail,6,whiskies,1 1/2 oz,blended scotch whiskey,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,nan,nan,nan,nan,nan,nan,nan,stir with ice and strain into chilled cocktail glass.,cocktail glass,6
coronation cocktail,6,cocktail classics,3/4 oz,gin,3/4 oz,dubonnet,3/4 oz,dry vermouth,nan,nan,nan,nan,nan,nan,nan,stir with ice and strain into cocktail glass.,cocktail glass,6
cornell cocktail,6,cocktail classics,1/2 oz,lemon juice,1 oz,maraschino,1 oz,egg white,1 1/2 oz,gin,nan,nan,nan,nan,nan,shake with ice and strain into cocktail glass.,cocktail glass,6
combo,6,cocktail classics,2 1/2 oz,dry vermouth,1 oz,brandy,1/2 oz,triple sec,1/2 oz,powdered sugar,1 oz,bitters,nan,nan,nan,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6
basin street,6,whiskies,2 oz,bourbon whiskey,3/4 oz,triple sec,3/4 oz,fresh lemon juice,nan,nan,nan,nan,nan,nan,nan,shake well with ice and strain into chilled cocktail glass.,cocktail glass,6
cole's raspberry cream,6,cocktail classics,1 1/2 oz,raspberry yogurt,1 1/2 oz,raspberry ice cream,1 1/2 oz,white creme de cacao,1 1/2 oz,vodka,2 oz,heavy cream,nan,nan,nan,shake or blend.,champagne flute,6
cognac coupling,6,cocktail classics,2 oz,cognac,1 oz,tawny port,1/2 oz,anis,1 oz,lemon juice,nan,nan,nan,nan,nan,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6
coffee sour,5,cocktail classics,1 1/2 oz,coffee-flavored brandy,1 oz,lemon juice,1 oz,powdered sugar,1/2 oz,egg white,nan,nan,nan,nan,nan,shake with ice and strain into sour glass.,sour glass,5
coffee flip,5,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 oz,brandy,1 oz,port,2 oz,light cream (if desired),nan,nan,nutmeg,shake with ice and strain into sour glass. top with nutmeg.,sour glass,5
coffee cocktail,5,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 oz,port,1 oz,brandy,nan,nan,nan,nan,nutmeg,shake with ice and strain into sour glass. top with nutmeg.,sour glass,5
purple mask,6,vodka,1 oz,vodka,1 oz,concord grape juice,1/2 oz,white creme de cacao,nan,nan,nan,nan,nan,nan,nan,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
clove cocktail,6,cocktail classics,1 oz,sweet vermouth,1/2 oz,sloe gin,1/2 oz,muscatel wine,nan,nan,nan,nan,nan,nan,nan,stir with ice and strain into cocktail glass.,cocktail glass,6
clover leaf cocktail,6,cocktail classics,1 oz,juice of a lime,2 oz,grenadine,1 oz,egg white,1 1/2 oz,gin,nan,nan,nan,nan,mint,shake with ice and strain into cocktail glass. garnish with mint.,cocktail glass,6
clover club cocktail,6,cocktail classics,1 oz,juice of a lemon,2 oz,grenadine,1 oz,egg white,1 1/2 oz,gin,nan,nan,nan,nan,nan,shake with ice and strain into cocktail glass.,cocktail glass,6
priority cocktail,6,vodka,2 oz,vodka,1/2 oz,calvados,1/2 oz,coffee liqueur,nan,nan,nan,nan,nan,nan,lemon twist,stir with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6
clamato cocktail,6,cocktail classics,1 1/2 oz,vodka,1 oz,clam juice,3 oz,tomato juice,nan,nan,nan,nan,nan,nan,nan,"shake with ice, strain, and serve over ice cubes in old-fashioned glass.",old-fashioned glass,6
